Date,Open,High,Low,Close,Adj Close,Volume
2025-06-06,170.83,174.50,170.83,173.68,173.08,35731800
2025-06-09,174.54,176.47,174.37,176.09,175.69,28935900
2025-06-10,176.20,181.11,174.91,178.60,178.20,61766100
2025-06-11,179.77,180.37,176.75,177.35,176.95,31646800
2025-06-12,176.18,176.72,174.75,175.70,175.30,20941900
2025-06-13,172.44,177.13,172.39,174.67,174.28,27663100
2025-06-16,174.73,176.94,174.65,176.77,176.37,27389200
2025-06-17,175.70,177.36,174.58,175.95,175.55,24973000
2025-06-18,176.01,176.56,173.20,173.32,172.93,28707500
2025-06-20,173.95,174.34,165.46,166.64,166.27,75659900
2025-06-23,166.27,167.34,162.00,165.19,164.82,57671000
2025-06-24,166.92,168.22,166.13,166.77,166.39,40524300
2025-06-25,167.63,172.36,167.55,170.68,170.30,35479000
2025-06-26,172.43,173.69,169.94,173.54,173.15,31796700
2025-06-27,173.54,178.68,171.73,178.53,178.13,108140200
2025-06-30,180.78,181.23,174.58,176.23,175.83,63378900
2025-07-01,175.74,176.09,173.53,175.84,175.44,35904500
2025-07-02,175.54,178.86,175.07,178.64,178.24,29128900
2025-07-03,178.50,179.67,177.05,179.53,179.13,21689700
2025-07-07,179.06,179.30,175.68,176.79,176.39,34175600
2025-07-08,177.85,177.95,172.81,174.36,173.97,40442500
2025-07-09,175.25,179.44,172.77,176.62,176.22,43025600
2025-07-10,175.63,178.43,174.38,177.62,177.22,29252400
2025-07-11,176.79,181.43,176.48,180.19,179.78,34282900
2025-07-14,181.01,183.67,179.68,181.56,181.15,32536600
2025-07-15,182.81,184.22,181.60,182.00,181.59,33448300
2025-07-16,183.24,184.33,182.03,182.97,182.56,33104200
2025-07-17,182.14,184.06,180.48,183.58,183.17,31992600
2025-07-18,185.40,186.42,183.71,185.06,184.64,34014500
2025-07-21,186.25,190.29,186.15,190.10,189.67,45803100
2025-07-22,191.50,191.65,187.46,191.34,190.91,44660200
2025-07-23,191.50,192.53,189.18,190.23,189.80,58681900
2025-07-24,197.03,197.95,191.00,192.17,191.74,74881700
2025-07-25,191.98,194.33,191.26,193.18,192.75,39785900
2025-07-28,193.65,194.05,190.84,192.58,192.15,38139500
2025-07-29,192.43,195.92,192.08,195.75,195.31,41389200
2025-07-30,195.60,197.60,194.69,196.53,196.09,32445400
2025-07-31,195.71,195.99,191.09,191.90,191.47,51329200
2025-08-01,189.03,190.83,187.82,189.13,188.70,34832200
2025-08-04,190.29,195.27,190.12,195.04,194.60,31547400
2025-08-05,194.71,197.86,193.89,194.67,194.23,31602300
2025-08-06,194.50,196.63,193.67,196.09,195.65,21562900
2025-08-07,197.06,197.54,194.33,196.52,196.08,26321800
2025-08-08,197.22,202.61,197.17,201.42,200.97,39161800
2025-08-11,200.94,201.48,199.07,201.00,200.55,25832400
2025-08-12,201.37,204.50,200.59,203.34,202.88,30397900
2025-08-13,204.13,204.53,197.50,201.96,201.51,28342900
2025-08-14,201.50,204.44,201.23,202.94,202.48,25230400
2025-08-15,203.85,206.44,201.28,203.90,203.44,34931400
2025-08-18,204.20,205.27,202.49,203.50,203.04,18526600
2025-08-19,203.03,203.44,199.96,201.57,201.12,24240200
2025-08-20,200.73,201.28,196.60,199.32,198.87,28955500
2025-08-21,199.75,202.48,199.43,199.75,199.30,19774600
2025-08-22,202.73,208.54,201.30,206.09,205.63,42827000
2025-08-25,206.43,210.52,205.28,208.49,208.02,29928900
2025-08-26,207.51,207.85,205.70,207.14,206.67,28464100
2025-08-27,205.70,208.91,205.65,207.48,207.01,23022900
2025-08-28,207.25,212.22,206.90,211.64,211.16,32339300
2025-08-29,210.51,214.65,210.20,212.91,212.43,39728400
2025-09-02,208.44,211.68,206.20,211.35,210.87,47523000
2025-09-03,226.21,231.31,224.79,230.66,230.14,103336100
2025-09-04,229.65,232.37,226.11,232.30,231.78,51684200
2025-09-05,232.20,235.76,231.90,235.00,234.47,46588900
2025-09-08,235.47,238.13,233.67,234.04,233.72,32474700
2025-09-09,234.17,240.47,233.23,239.63,239.30,38061000
2025-09-10,238.90,241.66,237.85,239.17,238.85,35141100
2025-09-11,239.88,242.25,236.25,240.37,240.04,30599300
2025-09-12,240.37,242.08,238.00,240.80,240.47,26771600
2025-09-15,244.66,252.41,244.66,251.61,251.27,58383800
2025-09-16,252.08,253.04,249.47,251.16,250.82,34109700
2025-09-17,251.22,251.60,246.28,249.53,249.19,34108000
2025-09-18,251.68,253.99,249.80,252.03,251.69,31239500
2025-09-19,253.25,256.00,251.81,254.72,254.37,55571400
2025-09-22,254.43,255.78,250.30,252.53,252.19,32290500
2025-09-23,253.04,254.36,250.48,251.66,251.32,26628000
2025-09-24,251.66,252.35,246.44,247.14,246.80,28201000
2025-09-25,244.40,246.49,240.74,245.79,245.46,31020400
2025-09-26,247.07,249.42,245.97,246.54,246.21,18503200
2025-09-29,247.85,251.15,242.77,244.05,243.72,32505800
2025-09-30,242.81,243.29,239.25,243.10,242.77,34724300
2025-10-01,240.75,246.30,238.61,244.90,244.57,31658200
2025-10-02,245.15,246.81,242.30,245.69,245.36,25483300
2025-10-03,244.49,246.30,241.66,245.35,245.02,30249600
2025-10-06,244.78,251.32,244.58,250.43,250.09,28894700
2025-10-07,248.27,250.44,245.52,245.76,245.43,23181300
2025-10-08,244.96,246.01,243.82,244.62,244.29,21307100
2025-10-09,244.47,244.76,239.15,241.53,241.20,27892100
2025-10-10,241.43,244.09,235.84,236.57,236.25,33180300
2025-10-13,240.21,244.50,239.71,244.15,243.82,24995000
2025-10-14,241.23,247.12,240.51,245.45,245.12,22111600
2025-10-15,247.25,252.11,245.99,251.03,250.69,27007700
2025-10-16,251.77,256.96,250.10,251.46,251.12,27997200
2025-10-17,250.76,254.22,247.81,253.30,252.96,29671600
2025-10-20,254.69,257.33,254.23,256.55,256.20,22350200
2025-10-21,254.74,254.88,244.15,250.46,250.12,47312100
2025-10-22,254.37,256.36,249.29,251.69,251.35,35029400
2025-10-23,252.98,255.04,251.85,253.08,252.74,19901400
2025-10-24,256.58,261.68,255.32,259.92,259.57,28655100
2025-10-27,264.82,270.14,264.28,269.27,268.90,35235200
2025-10-28,269.69,270.73,266.50,267.47,267.11,29738600
2025-10-29,267.75,275.34,267.67,274.57,274.20,43580300
2025-10-30,291.59,291.59,280.06,281.48,281.10,74876000
2025-10-31,283.21,286.00,277.03,281.19,280.81,39267900
2025-11-03,282.18,285.53,279.80,283.72,283.34,29786000
2025-11-04,276.75,281.27,276.26,277.54,277.16,30078400
2025-11-05,278.87,286.42,277.34,284.31,283.92,31010300
2025-11-06,285.33,288.35,281.08,284.75,284.36,37173600
2025-11-07,283.21,283.78,275.19,278.83,278.45,34479600
2025-11-10,284.42,290.80,282.86,290.10,289.71,29557300
2025-11-11,287.75,291.92,287.32,291.31,290.91,19842100
2025-11-12,291.68,292.01,283.69,286.71,286.32,24829900
2025-11-13,282.34,282.84,277.24,278.57,278.19,29494900
2025-11-14,271.41,278.56,270.70,276.41,276.04,31647200
2025-11-17,285.78,293.95,283.57,285.02,284.63,52670200
2025-11-18,287.92,288.80,278.20,284.28,283.89,49158700
2025-11-19,287.16,303.81,286.63,292.81,292.41,68198900
2025-11-20,304.54,306.42,288.67,289.45,289.06,62025200
2025-11-21,296.42,303.92,293.85,299.66,299.25,74137700
2025-11-24,311.13,319.48,309.60,318.58,318.15,85165100
2025-11-25,326.21,328.83,317.65,323.44,323.00,88632100
2025-11-26,320.68,324.50,316.79,319.95,319.52,51373400
2025-11-28,323.37,326.85,316.79,320.18,319.75,26018600
2025-12-01,317.70,319.85,313.89,314.89,314.46,41183000
2025-12-02,316.74,318.38,313.91,315.81,315.38,35854700
2025-12-03,315.89,321.58,314.10,319.63,319.20,41838300
